Easting,Northing,Lat,Long,Severity_of_casualty,Casualty_Class,Sex,Age,Date,Day,Hour,Local_authority,Vehicle_type,Pedestrian_Locality
526940,177890,51.48572431,-0.173152228,Serious,Pedestrian,Male,14,15/01/2010,Friday,16,Kensington_and_Chelsea,Motorcycle_over_125cc_and_up_to_500cc,Not_a_pedestrian
527790,179400,51.49910348,-0.160370508,Serious,Pedestrian,Female,46,13/01/2010,Wednesday,17,Kensington_and_Chelsea,Taxi/Private_hire_car,Crossing_on_ped._crossing_facility
526070,178880,51.494816,-0.185322214,Serious,Driver_or_rider,Male,37,18/01/2010,Monday,7,Kensington_and_Chelsea,Motor_cycle_125cc_and_under,"In_carriageway,_crossing_elsewhere"
526070,178880,51.494816,-0.185322214,Serious,Pedestrian,Male,69,18/01/2010,Monday,7,Kensington_and_Chelsea,Motor_cycle_125cc_and_under,Not_a_pedestrian
524130,181740,51.52094844,-0.212247358,Serious,Pedestrian,Male,35,17/01/2010,Sunday,0,Kensington_and_Chelsea,Car,Not_a_pedestrian
525250,178440,51.4910437,-0.197284321,Serious,Driver_or_rider,Male,32,12/01/2010,Tuesday,23,Kensington_and_Chelsea,Motorcycle_over_500cc,Not_a_pedestrian
524620,179030,51.49648524,-0.206145858,Serious,Pedestrian,Male,49,28/01/2010,Thursday,23,Kensington_and_Chelsea,Car,Not_a_pedestrian
527080,177550,51.48263733,-0.171259139,Serious,Driver_or_rider,Male,35,29/01/2010,Friday,8,Kensington_and_Chelsea,Moped,Not_a_pedestrian
525520,180530,51.5097671,-0.192653976,Serious,Passenger,Female,24,31/01/2010,Sunday,0,Kensington_and_Chelsea,Car,Not_a_pedestrian
526440,178490,51.49122848,-0.180134783,Serious,Driver_or_rider,Male,39,07/03/2010,Sunday,20,Kensington_and_Chelsea,Motor_cycle_125cc_and_under,Not_a_pedestrian
528540,177940,51.48581263,-0.15010295,Serious,Driver_or_rider,Male,29,14/02/2010,Sunday,9,Kensington_and_Chelsea,Pedal_cycle,Crossing_elsewhere_within_50m._of_ped.crossing
527560,178300,51.48926964,-0.164079588,Serious,Driver_or_rider,Male,33,10/03/2010,Wednesday,13,Kensington_and_Chelsea,Pedal_cycle,"In_carriageway,_not_crossing"
526160,177320,51.48077604,-0.184583355,Serious,Driver_or_rider,Male,46,12/03/2010,Friday,9,Kensington_and_Chelsea,Pedal_cycle,Crossing_on_ped._crossing_facility
526890,179000,51.49571119,-0.173473179,Serious,Driver_or_rider,Female,31,25/03/2010,Thursday,21,Kensington_and_Chelsea,Motor_cycle_125cc_and_under,Not_a_pedestrian
526240,177350,51.48102783,-0.183421201,Serious,Driver_or_rider,Female,22,26/03/2010,Friday,9,Kensington_and_Chelsea,Car,Not_a_pedestrian
526930,177480,51.48204188,-0.173443298,Serious,Driver_or_rider,Male,43,22/03/2010,Monday,18,Kensington_and_Chelsea,Motor_cycle_125cc_and_under,Not_a_pedestrian
527950,177770,51.48441851,-0.158657196,Serious,Driver_or_rider,Male,unknown,21/04/2010,Wednesday,10,Kensington_and_Chelsea,Motor_cycle_125cc_and_under,"In_carriageway,_not_crossing"
525550,179200,51.4978075,-0.192695139,Serious,Pedestrian,Female,35,04/05/2010,Tuesday,13,Kensington_and_Chelsea,Goods_3.5_tonnes_maximum_gross_weight_or_under,Not_a_pedestrian
525600,178860,51.49474076,-0.192096185,Serious,Pedestrian,Female,29,27/04/2010,Tuesday,17,Kensington_and_Chelsea,Car,Not_a_pedestrian
526080,177460,51.48205205,-0.185684912,Serious,Pedestrian,Male,12,06/05/2010,Thursday,16,Kensington_and_Chelsea,Car,Not_a_pedestrian
526240,178880,51.4947781,-0.182874638,Serious,Driver_or_rider,Male,34,28/04/2010,Wednesday,22,Kensington_and_Chelsea,Pedal_cycle,Not_a_pedestrian
527620,179510,51.50013042,-0.162778511,Serious,Driver_or_rider,Male,34,19/05/2010,Wednesday,16,Kensington_and_Chelsea,Motorcycle_over_500cc,Not_a_pedestrian
525370,178040,51.48742225,-0.195698739,Serious,Pedestrian,Male,30,14/05/2010,Friday,16,Kensington_and_Chelsea,Car,Not_a_pedestrian
523490,181570,51.51956075,-0.221526745,Serious,Driver_or_rider,Female,48,23/05/2010,Sunday,15,Kensington_and_Chelsea,Car,Not_a_pedestrian
527030,178580,51.49190521,-0.17160859,Serious,Driver_or_rider,Female,31,25/05/2010,Tuesday,7,Kensington_and_Chelsea,Motor_cycle_125cc_and_under,Not_a_pedestrian
527780,179160,51.49694885,-0.160601376,Serious,Driver_or_rider,Male,39,27/05/2010,Thursday,4,Kensington_and_Chelsea,Car,Not_a_pedestrian
524790,180300,51.50786157,-0.203249059,Serious,Driver_or_rider,Male,23,06/06/2010,Sunday,21,Kensington_and_Chelsea,Motor_cycle_125cc_and_under,Not_a_pedestrian
525130,179320,51.498979,-0.198699993,Serious,Pedestrian,Male,50,24/05/2010,Monday,13,Kensington_and_Chelsea,Goods_3.5_tonnes_maximum_gross_weight_or_under,Crossing_elsewhere_within_50m._of_ped.crossing
524090,179650,51.50217383,-0.213558951,Serious,Driver_or_rider,Male,34,18/06/2010,Friday,10,Kensington_and_Chelsea,Motorcycle_over_500cc,Not_a_pedestrian
526470,177970,51.48654847,-0.179889079,Serious,Driver_or_rider,Male,24,11/06/2010,Friday,18,Kensington_and_Chelsea,Motor_cycle_125cc_and_under,Not_a_pedestrian
524000,179750,51.50309229,-0.214819815,Serious,Passenger,Female,57,09/06/2010,Wednesday,18,Kensington_and_Chelsea,Bus_or_coach_(17_or_more_pass_seats),Not_a_pedestrian
528070,178630,51.49212019,-0.156618196,Serious,Pedestrian,Female,53,30/06/2010,Wednesday,13,Kensington_and_Chelsea,Car,Not_a_pedestrian
526090,177270,51.48034228,-0.185608693,Serious,Driver_or_rider,Male,46,22/06/2010,Tuesday,11,Kensington_and_Chelsea,Pedal_cycle,Not_a_pedestrian
524980,179250,51.49838304,-0.200884622,Serious,Driver_or_rider,Female,31,23/06/2010,Wednesday,9,Kensington_and_Chelsea,Pedal_cycle,Not_a_pedestrian
528230,177840,51.48498424,-0.15460149,Serious,Driver_or_rider,Female,30,08/07/2010,Thursday,18,Kensington_and_Chelsea,Pedal_cycle,Crossing_elsewhere_within_50m._of_ped.crossing
526060,177570,51.48304509,-0.185933584,Serious,Driver_or_rider,Male,34,09/07/2010,Friday,16,Kensington_and_Chelsea,Motorcycle_over_500cc,"In_carriageway,_not_crossing"
523780,180450,51.50943157,-0.217742287,Serious,Pedestrian,Female,40,18/07/2010,Sunday,21,Hammersmith_and_Fulham,Goods_3.5_tonnes_maximum_gross_weight_or_under,Not_a_pedestrian
524570,181270,51.51662767,-0.206074833,Serious,Driver_or_rider,Male,54,05/08/2010,Thursday,19,Kensington_and_Chelsea,Pedal_cycle,Crossing_on_ped._crossing_facility
526440,177910,51.48601595,-0.180342396,Serious,Driver_or_rider,Male,unknown,06/08/2010,Friday,8,Kensington_and_Chelsea,Pedal_cycle,Not_a_pedestrian
527600,179480,51.49986532,-0.163077337,Serious,Pedestrian,Male,55,18/08/2010,Wednesday,15,Kensington_and_Chelsea,Motorcycle_over_500cc,Not_a_pedestrian
528020,178230,51.4885367,-0.157482989,Serious,Driver_or_rider,Male,33,13/08/2010,Friday,14,Kensington_and_Chelsea,Pedal_cycle,Not_a_pedestrian
